text	label
"@AlienNation @wayne230 Don't hold your breath. "	0
"@DemocracyManifest Very incorrect - the First Amendment applies to citizens - not any branch of Government. "	0
"@prissy7 You will die from a heart attack before ths happens "	0
"@LarJass @Andrew917 @lgrngreen @rxwhitmer Notice how she took off when it came down to actually having to defend God's Word. "	0
"@Catholica And he was given a one year, suspended sentence. Hardly a deterrent. "	0
"@Andrew917 @ProfessorHeisenberg and liberals use that same book and blast Christians day and night falsely "	0
"@toric But it has never been defined. /sarc "	0
"@PurelyRational U NEED A VISION CHECK U MUST HAVE CATARACTS  "	0
"@DemocracyManifest You are falling in to communism and we will fight you . we will never give in to it "	0
"@Rolandw1 @HoorahAmerica Genetics has proven that information to be outdated. I would suggest a Nova series called the First Ones. It will fill you in on the latest information we have gotten from genetics. "	0
"I visit this thread once in a while and see that the CONs have nothing but to call names and continue to roll in their gutter. I would think that the CONs would grow up someday, but that is only wishful thinking. "	0
"Now we have reverse discrimination, BIG TIME because of this PERCEIVED PROBLEM that our DEAR LEADER intended to remedy by EXECUTIVE FIAT! Just another reason why there should not be a federal department of education that doles out OUR OWN TAX MONEY and makes the states JUMP THROUGH HOOPS TO GET IT! Don't you think ENOUGH IS ENOUGH! "	0
"Nothing but bitter words from the Skunk-ape. No surprise there. "	1
"@wayne230 @SB117 @Andrew917 Honestly, who is Sharon? I don't get the joke. "	0
"@killterrists That joke was brough up earlier but later deleted. It's an old one, but props on bringing it up during the olympics, that makes it more contemporary. "	0
"@TurnHearts Thats awsome! I hope the boycott ruins that states finances and the current AG becomes NCs next Govener. "	0
"Time to vote out those who would put illegal aliens before the citizens of this country...... "	1
"@DemocracyManifest That's not true. The First Amendment applies to all citizens. It does not apply to any branch of the Government. "	0
"@wayne230 @mdr1975 @WisdomKittyWhat will be the next drug? "	0
"There is NO entity in America that will ever oppress my 1st Amendment right which also includes any individual in government office. Obama, by ordering retail outlets to stop sales of a flag has become a domestic enemy of the 1st Amendment. "	0
"Jeffrey Dahmer was in the Army. How about naming a base after him? "	0
"@wayne230 @SB117 @Andrew917 @ProfessorHeisenberg They dumped Carter because he couldn't resolve the hostage crisis and inflation was out of control...after he was in office four years. Now why are they going to dump Hillary? "	0
"@wayne230 @mdr1975 @SB117 When have I said to mess with a bathroom? "	0
@liberalstupidity And its the reason-one of them anyway that some Muzlim countries do not even allow one of these scumbags into their country. NOT ONE! They knew what would happen with these uncivilized animals and what they would do and they did exactly 	1
"First Lady ?? Are you serious ?? Looks like a retired linebacker of the NFL.... "	1
"@freedomscout @rxwhitmer ""Trangenderism"" is real. Does it mean someone's gender has actually changed? No, but that doesn't make it less real. You mention evil effects. What are they? Be specific, not just something like it's evil or wrong. "	0
"@lettermansinc I want a Bumper Sticker with mooch-elles face stating does this A55 make my truck look fat? "	1
"Name Calling?... Poor little PC cupcakes... Can't bring themselves to mention Radical Islam Terrorist.  "	1
"@mdr1975 It's ""you're,"" You write like a fifth-grader. And sound like one as well. "	0
"@SamPatch @IndictHillary after you pay the $40 to access it I will  "	0
"@SeanReed ""Give us all your money so we can make you rich and independent?"" "	0
"@wayne230 @Andrew917 @SB117 @ProfessorHeisenberg Monica Lewinski lol. "	1
"Remember this tramp is part of the most TRANSPARENT administration EVER !!! Maybe she can play the ""race card"" again ????  "	1
"@wayne230 @mdr1975 @SB117 So, what you say is pro perversion then? "	0
"@CarpeNoctem Thats just people trying to spin it like its being ban. "	0
"@AlexanderHamilton76 @gilshuttlecok what's a hoplophobe? someone that hates bunnies? "	0
"@SamPatch @truthishere @humbled @my_thoughts in the shadows  "	0
"@CBellweather So you would rather live in a country that doesn't follow its own laws. That's called anarchy. "	0
"@br728, See you don't have a clue, the grandmother was nabbed by her own people and sold to slave traders(not from America), the best were sold in S America, the scag was sold in America. "	1
"@wayne230 @SB117 @Andrew917 Seeing as that's not my name, nor did I ever say it was, I still have no idea what you're trying to say. "	0
"@SeanReed The only thing free in your society are herpes and hemorrhoids "	0
"we need to hang all the illegal vermin. Starting with the ones that don't have birth certificates that are real. "	1
"@WiltonManors And by stood up, you mean kneel in front of a 13 year old boy... "	1
"While Barack is rapidly going gray and looking tired, Michelle and the girls just keep getting more attractive. "	0
"How embarrassing for the Navy ....and America. Liberals have gleefully embraced every known perversion and deviance and are angry that sane people refuse to accept their sickness as 'normal'. Liberals - the very worst among us. Liberalism - America's greatest enemy. "	1
"@FredDBear @MothraSaveUs Except in Germany, where Colt, Browning, Luger, et al. are not allowed to practice their function. "	0
"@ProfessorHeisenberg The world is not possessed by satan. "	0
"Quote of The Day; ""Protests and racism weren't on the front page every day 8 years ago"" "	0
"Who is E. Lee? Is he famous or something? "	0
"@lgrngreen @Andrew917 @rxwhitmer If you don't understand what transgender is, go talk to your family doctor. They cover it in medical school. "	0
"@TheImmortalOne @Tygher Poor thing, your hatred has melted your brain. Assuming there was a brain to begin with. But it's fun making you dance like a monkey on a chain. Dance, monkey! "	0
"I firmly believe Michelle Obama is a man. Honestly... "	1
"Did the Village people sing at the naming. LOL What a joke. "	1
"The law wasnt the problem, its the rapist members of a peaceful religion. "	1
"@mdr1975 @wayne230 @SB117 nothing EVER is said but pro perversion "	1
"@cincyman and anyone who backs him  "	0
"These comments are insane. A lot of you have severely missed the point of her comment and used it as an excuse to just be hateful. Watch the video and see the context in which she made the statement. "	0
"@Pilgrim1620 Saving the World = Ridding America of Liberals "	0
"You wasted time on that? Bwaa haa haa teabags got nothing. "	0
"@DAB123 You mean all 50? "	0
"It's amazing to me that you all think the fact that some blacks owned slaves somehow makes it all ok. By the way; you were the last to know. "	0
"They are also in the process of changing the Navy Fight song from ""Anchors Away"" to ""In The Navy"" by the Village People! "	0
"@alf5 @Catholica She sounds like Hillary. "	0
"@WisdomKitty Actually, the reason she wears pants suits is to better hide the fact she's wearing depends and they might leak! "	0
"Q. How do you circumcise a liberal? A. Kick his boyfriend in the chin. "	0
"@azolfos YES, it is. Obama hates this country and our freedom and is intentionally destroying it. "	0
