text	label
Its very sad we lost our 2 jawans.  Army should have taken action at same time.  Why should army wait for idiotic politicians decisions and advice.  Due to senseless politicians we are losing life's of Jawans.  Surfical strike is done by our brave solders with the guidence of our senior officers.  None of officers or solders name came on headlines except politicians.  Still political using its for political gains.  Thls leaders should spend 1 hour on border then they realise.	0
Now the bhakts will try to ban her on CNBC...	0
Are petrol ke price ke baare mein bolne kuchen nahi Kya ? India is using the costliest petrol	0
Dogs are considered impure in the dangerous ideology followed by Azam Khan whose ancestors were forcefully converted.. .. For us normal people dogs are mans loyal friend.. ðŸ˜ŠðŸ˜ŠðŸ‘ðŸ‘	1
"Macchi u people only be licking Congress shoes. B, cos for vote bank they licking us, if ur terrorists also."	1
What a bold statement to give for this self claimed feminist society...more power to her	1
"Shaik abdul, people like you want spoon feeding, you guys don't even want to move a finger to help.  People like you are eating this country up."	1
"why we celebrate ? only we have ""FASI "" to kasab....this is not enough. we need to find out those people who create the KASAB and more like him ! so rather then celebration think for remove terrorist from Bottom of earth !! this is not time for celebration this is the war and war is not end as KASAB FASI this is Just Beginning!!!!!!"	0
I think they are displaying wrong title its dont look like bike launch	0
Even pattewala of Kejriwal will be better than Kejriwal. Look how many times Kejriwal has regretted his decision. Thank god he did not become surgeon or pilot.	1
imagine of someone posted 'nazism' or 'fascism' for the futtre. pathetic	1
I didn't notice any thing offensive towards any one in particular. He has vent his mind on governance both centre and state	0
"Sasikala is the right choice as CM, Tamil Nadu."	0
May be she has given secretly ...how do u knw tat she iz nt concerned abt it ...n itz her wish to give or nt itz her money ..government has enough to serve pple for any calamity ....so i wish her good luck as she iz talented n work too much to earn dis position ....	0
"Wakeup call for BJP, don't give importance to corrupt Congi  leaders !!"	1
Everything is not Gau Rakshak but killing people in the name of cow is Gau Rakshak is all about and who told you that killing cow is illegal in constitution don't have knowledge than its better to be quiet its illegal only in the mind of people like u n supreme court has also directed such people that u cant direct people what to eat n what not to eat	1
What about our soldiers....no organization comes forward to support our soldiers's family when they required most....It's really shame on those....	0
#saysiamaproudchutiyawhodoentknowshitabouthistory . U open your mouth only to become a laughing stock. Go read some real history. Not the brainwashed kind. Then you will appreciate the pigsty that is pakistan	1
BABA STARTS A NEW   COMEDY DIALOGUE PLANTED BY MODI GOVT. ...............SHAME .......................	1
"People with  problem of. Diffrent religion s.  Should go on moon"	1
yes pakistan is ultra superpower which can disobey the verdict	1
"Under Rajnath Police, even his state president is not secure...they talk of EIP bluff masters !!!"	1
We all r with u Sir.. but may I know who is suffering  now..	1
"He Yogeshwar  THRAI MAM  THRAi MAM , Convent Schools are extracting admission fees of Rs 40, 000 to 10000/ for a simple 1st standard students. Pl do something by making any squad  to control all these cheating habits by missionary administrations. For example & proof St Peter School is asking Rs 42000 admission fee for 1 standard and quarterly fees is additional . Yes , you can stop it."	0
